Sample ID,Type,Standoff,Spacing,AI,AV
DG-PCB001,both-rad,7.5,step,4.766602e-10,13.0038
DG-PCB001,both-rad,7.5,step,4.902476e-10,13.5039
DG-PCB001,both-rad,7.5,step,4.958424e-10,14.0039
DG-PCB001,both-rad,7.5,step,5.094719e-10,14.5037
DG-PCB001,both-rad,7.5,step,5.312621e-10,15.004
DG-PCB001,both-rad,7.5,step,5.438819e-10,15.5038
DG-PCB001,both-rad,7.5,step,5.564597e-10,16.0037
DG-PCB001,both-rad,7.5,step,5.626435e-10,16.5037
DG-PCB001,both-rad,7.5,step,5.809422e-10,17.0038
DG-PCB001,both-rad,7.5,step,5.841393e-10,17.5036
DG-PCB001,both-rad,7.5,step,6.048358e-10,18.0034
DG-PCB001,both-rad,7.5,step,6.178764e-10,18.5035
DG-PCB001,both-rad,7.5,step,6.266261e-10,19.0034
DG-PCB001,both-rad,7.5,step,6.408445e-10,19.5034
DG-PCB001,both-rad,7.5,step,6.4686e-10,20.0027
DG-PCB001,both-rad,7.5,step,6.63434e-10,20.5026
DG-PCB001,both-rad,7.5,step,6.741189e-10,21.0025
DG-PCB001,both-rad,7.5,step,6.984752e-10,21.5025
DG-PCB001,both-rad,7.5,step,6.93259e-10,22.0026
DG-PCB001,both-rad,7.5,step,7.146285e-10,22.5023
DG-PCB001,both-rad,7.5,step,7.301089e-10,23.0022
DG-PCB001,both-rad,7.5,step,7.479029e-10,23.5022
DG-PCB001,both-rad,7.5,step,7.56274e-10,24.0023
DG-PCB001,both-rad,7.5,step,7.694408e-10,24.5021
DG-PCB001,both-rad,7.5,step,7.850894e-10,25.002
DG-PCB001,both-rad,7.5,step,7.960686e-10,25.5022
DG-PCB001,both-rad,7.5,step,8.057018e-10,26.002
DG-PCB001,both-rad,7.5,step,8.221918e-10,26.5019
DG-PCB001,both-rad,7.5,step,8.268191e-10,27.0027
DG-PCB001,both-rad,7.5,step,8.408271e-10,27.5028
DG-PCB001,both-rad,7.5,step,8.572329e-10,28.0033
DG-PCB001,both-rad,7.5,step,8.658564e-10,28.5037
DG-PCB001,both-rad,7.5,step,8.833139e-10,29.0038
DG-PCB001,both-rad,7.5,step,8.986681e-10,29.5007
DG-PCB001,both-rad,7.5,step,9.011079e-10,30.0009
DG-PCB001,both-rad,7.5,step,8.791073e-10,30.0011
DG-PCB001,both-rad,7.5,step,8.449495e-10,29.5008
DG-PCB001,both-rad,7.5,step,8.045239e-10,29.0039
DG-PCB001,both-rad,7.5,step,7.552224e-10,28.5037
DG-PCB001,both-rad,7.5,step,7.328853e-10,28.0033
DG-PCB001,both-rad,7.5,step,7.025135e-10,27.503
DG-PCB001,both-rad,7.5,step,6.641491e-10,27.0027
DG-PCB001,both-rad,7.5,step,6.437891e-10,26.5019
DG-PCB001,both-rad,7.5,step,6.096735e-10,26.0021
DG-PCB001,both-rad,7.5,step,5.847703e-10,25.5022
DG-PCB001,both-rad,7.5,step,5.580583e-10,25.0021
DG-PCB001,both-rad,7.5,step,5.282333e-10,24.5019
DG-PCB001,both-rad,7.5,step,5.113228e-10,24.0023
DG-PCB001,both-rad,7.5,step,4.883126e-10,23.5023
DG-PCB001,both-rad,7.5,step,4.567208e-10,23.0023
DG-PCB001,both-rad,7.5,step,4.337948e-10,22.5025
DG-PCB001,both-rad,7.5,step,4.061573e-10,22.0026
DG-PCB001,both-rad,7.5,step,3.887839e-10,21.5026
DG-PCB001,both-rad,7.5,step,3.713265e-10,21.0026
DG-PCB001,both-rad,7.5,step,3.545e-10,20.5026
DG-PCB001,both-rad,7.5,step,3.276618e-10,20.0027
